primary_key,eco_sect,Last_dep,job_dep,job_desc,Type_of_contract,JOB_CATEGORY,Work_condition,EMPLOYER_TYPE,working_hours,Employee_count
26858,"OZ","13","13","621f","CDI","O","C",NA,151,NA
26885,"JA","75","75","465b","CDD","O","N","ct_9",28,"tr_3"
26890,"CL","72","72","484b","CDI","O","C","ct_9",1873,"tr_6"
26893,"FZ","84","84","681a","CDI","O","C","ct_9",1498,"tr_1"
26899,"QA","59","59","441a","CDI","O","P","ct_3",910,"tr_6"
26913,"PZ","37","78","422c","CDI","O","C","ct_4",1771,"tr_5"
26916,"DZ","04","13","625h","CDI","O","C","ct_9",581,"tr_6"
26954,"FZ","21","21","633a","CDI","O","C","ct_9",1566,"tr_5"
26958,"NZ","13","13","684a","CDI","O","P","ct_9",644,"tr_3"
26999,"QA","34","34","431d","CDI","O","C","ct_9",455,"tr_1"
27008,"QB","93","93","543h","CDI","O","P","ct_8",1820,"tr_4"
27025,"CA","55","55","674c","CDI","O","C","ct_9",1813,"tr_6"
27029,"QA","87","87","523d","AUT","O","C","ct_3",1819,"tr_6"
27042,"PZ","14","94","524b","CDI","O","C",NA,143,NA
27045,"LZ","33","33","463e","CDI","O","C","ct_9",1601,"tr_1"
27047,"QA","93","93","526a","CDI","O","C","ct_9",2068,"tr_4"
27055,"OZ","57","57","451e","CDI","O","C","ct_1",1820,"tr_2"
27059,"MC","93","92","643a","CDI","O","C","ct_9",544,"tr_4"
27061,"QA","2A","2A","542a","CDI","O","C","ct_9",1846,"tr_3"
27071,"TZ","69","69","563c","CDI","O","N","ct_7",420,"tr_1"
27088,"SZ","74","74","435b","CDI","O","P","ct_8",1892,"tr_1"
27090,"NZ","13","13","542a","CDI","O","N","ct_9",597,"tr_1"
27112,"PZ","38","73","423b","CDI","O","C","ct_9",981,"tr_1"
27120,"GZ","61","28","551a","CDI","O","P","ct_9",1366,"tr_5"
27129,"PZ","24","82","422c","CDI","O","P","ct_8",1820,"tr_2"
27144,"FZ","94","78","622d","CDI","O","P","ct_9",848,"tr_5"
27145,"PZ","42","42","422b","CDI","O","P","ct_8",910,"tr_5"
27162,"OZ","34","34","333f","CDI","O","C",NA,152,NA
27176,"OZ","91","91","621f","AUT","O","C","ct_2",1820,"tr_6"
27204,"FZ","75","93","477c","CDI","O","C","ct_9",1820,"tr_5"
27225,"QA","46","46","451h","CDI","O","C","ct_3",1517,"tr_6"
27244,"IZ","2B","2B","636d","CDI","O","C","ct_9",1172,"tr_1"
27249,"HZ","16","16","546c","CDI","O","C","ct_9",1771,"tr_3"
27262,"QA","31","31","526b","CDI","O","P","ct_9",936,"tr_1"
27264,"HZ","75","92","373b","CDI","O","C","ct_9",1620,"tr_6"
27265,"LZ","59","59","684a","CDI","O","P","ct_9",1603,"tr_5"
27273,"NZ","86","86","684a","CDI","O","P",NA,163,"tr_6"
27279,"GZ","61","61","673c","CDI","O","C","ct_9",1704,"tr_3"
27280,"CG","68","68","628g","CDI","O","C","ct_9",631,"tr_3"
27295,"JC","93","95","388c","CDI","O","C","ct_9",1747,"tr_6"
27298,"TZ","25","25","563c","CDI","O","C",NA,603,NA
27300,"PZ","42","42","525b","CDI","O","P","ct_8",847,"tr_3"
27330,"CK","69","69","624b","CDI","O","C","ct_9",607,"tr_5"
27332,"QA","13","13","526e","CDI","O","C","ct_9",1828,"tr_2"
27336,"IZ","44","44","636d","CDI","O","C","ct_9",1418,"tr_1"
27341,"QA","81","81","525d","CDI","O","C","ct_9",1809,"tr_5"
27346,"MA","94","94","543h","CDI","O","P","ct_9",546,"tr_6"
27366,"GZ","13","13","431f","CDI","O","C","ct_9",1146,"tr_1"
27397,"IZ","92","92","561b","CDI","O","C","ct_9",1328,"tr_1"
27399,"NZ","17","16","534a","CDI","O","C","ct_9",1352,"tr_3"
27404,"CF","41","41","461e","CDI","O","C","ct_9",1967,"tr_5"
27408,"TZ","23","23","563c","CDI","O","N","ct_7",1359,"tr_1"
27413,"GZ","78","27","643a","CDI","O","C","ct_9",1466,"tr_1"
27420,"OZ",NA,NA,"525a","CDI","O","P","ct_2",1417,"tr_6"
27422,"NZ","44","44","564a","CDI","O","C","ct_8",1278,"tr_1"
27425,"FZ","77","77","461c","CDI","O","P","ct_6",830,"tr_1"
27432,"LZ","75","75","373d","CDI","O","C","ct_9",910,"tr_1"
27446,"PZ","92","44","421b","CDI","O","C","ct_8",2427,"tr_2"
27449,"SZ","29","22","691b","CDI","O","P","ct_8",857,"tr_6"
27451,"NZ","91","95","684a","CDI","O","C","ct_9",2112,"tr_6"
27452,"QA","77","75","525d","CDI","O","C","ct_8",1260,"tr_6"
27468,"HZ","31","31","521a","CDI","O","C","ct_9",1660,"tr_6"
27487,"QB","31","31","525c","CDI","O","P","ct_8",1936,"tr_5"
27488,"NZ","94","75","543g","CDI","O","P","ct_9",1834,"tr_6"
27490,"GZ","92","92","385c","CDI","O","C","ct_9",818,"tr_6"
27491,"GZ","53","53","542a","CDI","O","C","ct_9",1708,"tr_1"
27510,"QB","29","29","563c","CDI","O","C","ct_9",194,"tr_3"
27511,"OZ","35","35","621f","AUT","O","P","ct_2",936,"tr_1"
27517,"QA","95","95","526b","CDI","O","C","ct_9",1118,"tr_1"
27521,"NZ","34","34","542a","TTP","O","C","ct_9",1316,"tr_2"
27522,"CL","78","78","372b","CDI","O","C","ct_9",1680,"tr_6"
27528,"QA",NA,NA,"526b","CDI","O","C","ct_9",1747,"tr_1"
27531,"NZ","62","62","674c","TTP","O","C","ct_9",1328,"tr_1"
27536,"CA","44","44","625g","CDI","O","P","ct_9",1092,"tr_6"
27538,"TZ","82","82","563c","CDI","O","N","ct_7",1844,"tr_1"
27555,"QB","33","33","525d","CDI","O","P","ct_9",483,"tr_4"
27559,"CL","69","69","387b","CDI","O","C","ct_9",1820,"tr_6"
27562,"CB","01","10","463b","CDI","O","C","ct_9",1311,"tr_3"
27564,"CE","95","95","676a","CDI","O","C","ct_9",1826,"tr_5"
27582,"CG","43","43","676e","CDI","O","P","ct_9",893,"tr_6"
27585,"NZ","66","66","451g","CDI","O","C","ct_2",1820,"tr_3"
27602,"QA","88","88","431f","CDI","O","C",NA,132,NA
27603,"GZ","59","59","554f","CDI","O","C","ct_9",1702,"tr_1"
27622,"CF","44","92","463d","CDI","O","C","ct_9",1827,"tr_6"
27629,"GZ","84","84","462b","CDI","O","C","ct_9",336,"tr_5"
27632,"PZ","57","54","373d","CDI","O","C","ct_8",1874,"tr_3"
27634,"SZ","55","55","563b","CDI","O","P","ct_8",1678,"tr_3"
27650,"KZ",NA,NA,"467b","CDI","O","C","ct_9",733,"tr_5"
27656,"QA","63","63","525d","CDI","O","C","ct_9",910,"tr_6"
27681,"HZ",NA,NA,"641a","CDI","O","C","ct_9",1100,"tr_1"
27691,"TZ","34","34","563c","CDI","O","N","ct_7",3000,"tr_1"
27699,"QA","92","75","526b","CDI","O","P","ct_9",944,"tr_1"
27712,"OZ","77","77","621f","CDI","O","C",NA,141,NA
27731,"FZ","77","93","641a","CDI","O","C","ct_9",1635,"tr_5"
27743,"MA","38","38","478a","CDI","O","C","ct_9",1767,"tr_3"
27744,"MA","64","64","526a","CDI","O","C","ct_9",1771,"tr_6"
27745,"QB","62","62","525d","CDI","O","C","ct_9",1844,"tr_4"
27747,"QB","33","33","525d","CDI","O","C","ct_9",1838,"tr_0"
27754,"QB","49","49","563b","AUT","O","C","ct_2",1819,"tr_3"
27758,"OZ","33","33","544a","CDI","O","C","ct_8",1642,"tr_6"
27776,"QA","76","76","526a","CDI","O","C","ct_9",1852,"tr_4"
27777,"PZ","75","75","423b","CDI","O","N","ct_9",1730,"tr_3"
27797,"GZ","69","69","643a","CDI","O","C","ct_9",1621,"tr_2"
27798,"TZ","14","14","563c","CDI","O","N","ct_7",1213,"tr_1"
27817,"NZ","62","62","676a","CDD","O","C","ct_8",229,"tr_4"
27838,"QB","86","86","434d","CDI","O","C","ct_8",1820,"tr_5"
27839,"QB","61","61","685a","AUT","X","P","ct_8",1066,"tr_2"
27841,"CA","54","54","625f","CDI","O","C","ct_9",1799,"tr_5"
27844,"QB","13","13","423b","CDI","O","C","ct_8",1522,"tr_5"
27852,"QA","75","93","526a","CDI","O","C","ct_9",2831,"tr_6"
27856,"CL","47","47","474a","CDI","O","C","ct_9",1942,"tr_5"
27860,"OZ","22","22","545d","CDI","O","C","ct_8",1233,"tr_2"
27862,"QB","13","13","526c","CDI","O","C","ct_9",1353,"tr_1"
27874,"KZ","45","45","467b","CDI","O","C","ct_9",1774,"tr_5"
27881,"NZ","75","75","564a","CDI","O","P","ct_8",2489,"tr_1"
27882,"OZ","91","95","332b","CDI","O","C","ct_2",1820,"tr_6"
27883,"CL","64","64","474c","CDI","O","C","ct_9",1490,"tr_6"
27898,"GZ","69","69","543b","CDI","O","P","ct_9",986,"tr_1"
27902,"KZ","29","29","467c","CDI","O","C","ct_8",1802,"tr_6"
27905,"BZ","29","64","477b","CDI","O","C","ct_9",1820,"tr_4"
27906,"NZ","93","94","534a","CDI","O","C","ct_9",1702,"tr_6"
27908,"TZ",NA,NA,"563c","CDI","O","N","ct_7",1199,"tr_1"
27927,"GZ","93","93","554e","CDI","O","P","ct_9",683,"tr_1"
27940,"KZ","49","49","467a","CDI","O","C","ct_9",1832,"tr_6"
27952,"QB","09","09","434e","CDI","O","P","ct_8",217,"tr_1"
27958,"QB","62","62","563a","CDI","O","N","ct_8",1820,"tr_4"
27965,"QA","01","69","525d","AUT","O","P","ct_3",334,"tr_6"
27972,"NZ","75","75","564a","CDI","O","N","ct_8",1820,"tr_1"
27977,"TZ","44","44","563c","TTP","O","N",NA,383,NA
27979,"QB","94","94","525d","CDI","O","C","ct_8",1820,"tr_4"
27984,"GZ","47","82","552a","CDI","O","P","ct_9",691,"tr_1"
27986,"HZ","51","51","521a","CDI","O","P","ct_9",1212,"tr_6"
27995,"KZ","63","63","545c","CDI","O","P","ct_6",560,"tr_1"
28022,"QB","64","64","431f","CDI","O","P","ct_8",320,"tr_5"
28024,"QB",NA,NA,"526d","CDI","O","C","ct_8",1471,"tr_4"
28029,"CL","52","52","384b","CDI","O","C","ct_9",1711,"tr_5"
28039,"TZ","42","42","563c","CDI","O","N","ct_7",780,"tr_1"
28060,"KZ","76","76","467a","CDI","O","P","ct_9",427,"tr_1"
28064,"QB","44","44","563a","CDI","O","N","ct_7",598,"tr_0"
28071,"OZ","05","05","333f","CDI","O","C","ct_2",606,"tr_6"
28078,"OZ",NA,NA,"531a","AUT","O","C","ct_1",1820,"tr_5"
28097,"GZ","02","60","487b","CDI","O","C","ct_9",1822,"tr_2"
28103,"KZ","75","92","372c","CDI","O","C","ct_9",1820,"tr_4"
28104,"QA","30","30","431f","CDI","O","C","ct_8",455,"tr_3"
28112,"IZ","84","30","561d","CDI","O","C","ct_9",1678,"tr_2"
28113,"OZ","07","69","524b","CDI","O","P","ct_1",1274,"tr_6"
28122,"OZ",NA,NA,"523c","CDI","O","C","ct_2",1820,"tr_6"
28123,"NZ","91","93","684a","CDI","O","C","ct_9",1588,"tr_6"
28130,"CI","31","31","477a","CDI","O","C","ct_9",1665,"tr_5"
28132,"QB","93","93","422c","CDI","O","P","ct_8",1551,"tr_1"
28141,"GZ","86","86","543b","CDI","O","C","ct_9",1017,"tr_3"
28150,"QB","42","42","525d","CDI","O","C","ct_9",910,"tr_3"
28158,"QA","69","69","525d","CDI","O","C","ct_9",1820,"tr_5"
28185,"GZ","50","50","634c","CDI","O","C","ct_9",2080,"tr_3"
28189,"RZ","77","77","435b","CDI","O","C",NA,227,NA
28212,"CA","67","67","543g","CDI","O","C","ct_9",1761,"tr_4"
28233,"GZ","95","93","462e","CDI","O","P","ct_9",1138,"tr_1"
28245,"GZ","57","57","462a","CDI","O","C","ct_9",1750,"tr_1"
28255,"OZ","73","73","524c","CDI","O","C",NA,142,NA
28262,"EZ",NA,NA,"641a","CDI","O","C","ct_9",1820,"tr_3"
28279,"QA","25","70","333e","CDI","O","P","ct_8",1460,"tr_2"
28284,"CM","34","34","372a","CDI","O","C","ct_9",2013,"tr_3"
28318,"CH","95","95","673c","CDI","O","C","ct_9",531,"tr_2"
28324,"EZ","59","59","653a","CDI","O","C","ct_9",1428,"tr_1"
28325,"CA","44","44","674c","CDI","O","C","ct_9",525,"tr_5"
28335,"FZ","38","38","382c","CDI","O","C","ct_9",1365,"tr_4"
28342,"CH","27","95","623g","CDI","O","C","ct_9",1741,"tr_2"
28346,"QB","75","92","344b","CDI","O","P","ct_9",163,"tr_6"
28350,"MA","64","64","526a","CDI","O","C","ct_9",1771,"tr_6"
28353,"GZ","49","49","542a","CDI","O","P","ct_9",1487,"tr_4"
28361,"SZ","76","76","441a","CDI","O","C","ct_8",700,"tr_1"
28368,"KZ","44","44","467b","CDI","O","C","ct_9",679,"tr_5"
28370,"KZ","77","92","461c","CDI","O","C","ct_9",1824,"tr_6"
28374,"OZ","78","78","525a","AUT","O","P","ct_2",1560,"tr_5"
28376,"CC","33","33","676c","CDI","O","C","ct_9",2095,"tr_2"
28400,"QB","85","85","563a","CDI","O","N","ct_7",2891,"tr_1"
28409,"CM","88","88","675b","CDI","O","C","ct_9",1577,"tr_5"
28412,"QB","68","68","526a","CDI","O","C","ct_8",1316,"tr_4"
28413,"QB","21","21","563a","CDI","O","N","ct_7",3000,"tr_1"
28415,"QB","29","29","526a","CDI","O","P","ct_8",967,"tr_4"
28416,"GZ","44","44","554a","CDI","O","C","ct_9",607,"tr_0"
28417,"QA","36","36","526e","CDI","O","C","ct_9",1834,"tr_3"
28425,"MA","65","65","684a","CDI","O","P","ct_9",3000,"tr_4"
28430,"QA","59","59","526b","CDI","O","C","ct_6",1316,"tr_1"
28435,"KZ","62","62","467a","CDI","O","C","ct_9",2024,"tr_1"
28454,"IZ","67","67","636d","CDI","O","C","ct_9",1268,"tr_2"
28458,"LZ","93","93","564a","CDI","O","C","ct_9",2080,"tr_2"
28464,"PZ","75","93","423b","CDI","O","P","ct_8",607,"tr_1"
28471,"QB","76","76","632k","CDI","O","C","ct_8",1531,"tr_4"
28472,"QB","60","60","525d","CDI","O","C","ct_9",1706,"tr_4"
28473,"HZ","91","91","521a","CDI","O","C","ct_9",1827,"tr_5"
28477,"KZ","44","94","477a","CDI","O","C","ct_9",1521,"tr_6"
28516,"MA","75","75","382b","CDI","O","C","ct_9",1669,"tr_3"
28517,"KZ","94","92","376b","CDI","O","C","ct_9",1813,"tr_6"
28521,"QA","67","67","525d","CDI","O","P","ct_3",254,"tr_6"
28526,"PZ","29","29","422b","CDI","O","C","ct_8",1820,"tr_5"
28528,"NZ","45","45","628b","CDI","O","C","ct_9",1544,"tr_3"
28529,"QB","30","30","525d","CDI","O","C","ct_8",2391,"tr_2"
28532,"CE","39","39","674a","CDI","O","C","ct_9",1820,"tr_6"
28544,"CH","01","01","474c","CDI","O","C","ct_9",1592,"tr_4"
28550,"KZ","40","31","467a","CDI","O","C","ct_9",1803,"tr_5"
28558,"QB","10","10","526d","CDI","O","C","ct_8",1641,"tr_4"
28564,"IZ","13","13","561d","CDI","O","P","ct_9",509,"tr_4"
28575,"PZ","77","75","422a","CDI","O","C","ct_1",2131,"tr_5"
28602,"QB",NA,NA,"526a","CDI","O","C","ct_8",607,"tr_5"
28609,"RZ","86","86","543b","CDD","O","C","ct_9",130,"tr_1"
28621,"QB","62","62","563b","AUT","O","C",NA,381,NA
28624,"QB","38","38","525a","CDI","O","C","ct_8",1590,"tr_2"
28634,"DZ","91","91","485a","CDI","O","C","ct_9",1820,"tr_3"
28636,"QA","75","75","525d","CDI","O","C","ct_8",1770,"tr_3"
28643,"PZ","76","76","524b","CDI","O","P","ct_1",1718,"tr_3"
28645,"TZ",NA,NA,"563c","CDI","O","N","ct_7",574,"tr_0"
28651,"MA","68","68","542a","CDI","O","C","ct_9",1384,"tr_0"
28654,"CM","13","77","477b","CDI","O","C","ct_9",2047,"tr_6"
28680,"QB","81","81","563a","CDI","O","N","ct_7",2715,"tr_0"
28693,"QA","86","86","525d","CDI","O","C","ct_3",1809,"tr_6"
28694,"IZ","60","60","468a","CDI","O","C","ct_9",1157,"tr_1"
28698,"QA","38","38","526b","CDI","O","C","ct_9",1539,"tr_1"
28704,"QB","88","67","526a","CDI","O","C","ct_8",913,"tr_4"
28706,"PZ","07","07","422b","CDI","O","C","ct_8",1820,"tr_4"
28707,"NZ","95","95","534a","CDI","O","C","ct_9",2028,"tr_4"
28723,"HZ","59","57","641a","CDI","O","C","ct_9",1942,"tr_5"
28734,"OZ","59","59","467d","CDI","O","C","ct_8",1892,"tr_5"
28744,"OZ","57","57","451e","CDI","O","C","ct_1",1667,"tr_5"
28748,"GZ","68","68","551a","CDI","O","P","ct_9",1893,"tr_6"
28761,"SZ","84","13","691e","CDI","O","C","ct_8",1963,"tr_1"
28765,"QB","06","06","525d","CDI","O","C","ct_9",1198,"tr_4"
28773,"PZ","12","12","421b","CDI","O","C","ct_8",1820,"tr_1"
28776,"QA","93","93","525d","CDI","O","C","ct_9",376,"tr_6"
28802,"QA","94","94","526a","CDI","O","C","ct_8",1842,"tr_5"
28804,"QA","94","94","526a","AUT","O","C","ct_3",1820,"tr_6"
28811,"HZ","25","25","463e","CDI","O","C","ct_9",1820,"tr_1"
28836,"QB","93","93","563a","AUT","O","C","ct_2",3000,"tr_6"
28844,"PZ","75","75","451g","CDI","O","N",NA,281,NA
28846,"QB",NA,NA,"563b","CDI","O","N","ct_7",424,"tr_0"
28885,"KZ","95","92","374d","CDI","O","C","ct_9",1796,"tr_4"
28892,"QB","44","44","525d","CDI","O","P","ct_8",1323,"tr_6"
28902,"QA","59","59","332b","CDI","O","C","ct_3",1820,"tr_6"
28904,"QB","67","67","434a","CDI","O","C","ct_8",1791,"tr_4"
28905,"GZ","71","71","543c","CDI","O","P","ct_9",1300,"tr_6"
28906,"JB","35","35","388e","AUT","O","P","ct_9",728,"tr_2"
28922,"GZ","85","85","433d","CDI","O","C","ct_9",1496,"tr_1"
28931,"KZ","78","92","461b","CDI","O","C","ct_9",980,"tr_6"
28937,"OZ","31","31","451g","CDI","O","P","ct_2",915,"tr_6"
28941,"GZ","13","83","462d","CDI","O","C","ct_9",1180,"tr_4"
28942,"CH","41","45","676e","CDI","O","C","ct_9",772,"tr_4"
28947,"QA","31","31","431f","CDI","O","C","ct_9",1732,"tr_6"
28952,"HZ","94","94","451a","CDI","O","P","ct_9",910,"tr_2"
28955,"TZ","75","75","563c","CDI","O","C",NA,946,NA
28962,"QB","31","31","563a","CDI","O","N","ct_7",1655,"tr_0"
28963,"CC","69","01","374d","CDI","O","C","ct_9",1401,"tr_3"
28983,"CM","39","39","485b","CDI","O","C","ct_9",1815,"tr_4"
28995,"QB","87","87","563a","CDI","O","N","ct_7",3000,"tr_1"
29003,"NZ","51","51","542a","CDI","O","C","ct_9",1786,"tr_1"
29014,"CA","39","71","674b","CDI","O","C","ct_9",1859,"tr_6"
29017,"GZ","41","45","461e","CDI","O","P","ct_9",1387,"tr_5"
29018,"PZ","78","92","461f","CDI","A","C","ct_8",1826,"tr_2"
29024,"GZ","75","93","653a","CDI","O","P","ct_9",700,"tr_6"
29062,"QB","84","84","543b","CDI","O","C","ct_8",1810,"tr_3"
29066,"CH","60","60","477a","CDI","O","C","ct_9",1473,"tr_6"
29069,"QB","85","44","526c","CDI","O","P","ct_8",939,"tr_2"
29079,"QB","89","89","526d","CDI","O","C","ct_8",1742,"tr_4"
29090,"CA","44","83","463c","CDI","O","C","ct_9",406,"tr_1"
29091,"QA","72","41","642b","CDI","O","P",NA,252,NA
29106,"QA","18","18","526e","CDI","O","C","ct_9",1875,"tr_1"
29112,"HZ","10","10","451a","CDI","O","C","ct_9",912,"tr_3"
29125,"QA","69","69","526a","CDI","O","C",NA,154,NA
29138,"QA","69","69","526a","CDI","O","C","ct_8",1723,"tr_6"
29139,"FZ","67","67","671c","CDI","O","C","ct_9",1629,"tr_3"
29149,"QA","87","87","526a","CDI","O","P","ct_9",144,"tr_3"
29153,"PZ","56","56","525a","CDI","O","C","ct_8",1669,"tr_3"
29156,"RZ","74","74","543c","CDI","O","C","ct_8",1297,"tr_3"
29157,"IZ","13","13","525d","AUT","X","C","ct_8",963,"tr_2"
29161,"JB","77","77","478d","CDI","O","C","ct_9",1584,"tr_1"
29163,"QA","83","83","542a","CDI","O","P","ct_6",520,"tr_1"
29167,"CA","57","67","637d","CDI","O","C","ct_9",1647,"tr_3"
29194,"NZ","22","22","526b","CDI","O","C","ct_9",1305,"tr_1"
29197,"TZ","95","95","563a","CDI","O","N","ct_7",866,"tr_1"
29198,"GZ","38","01","543h","CDI","O","C",NA,190,NA
29204,"GZ","62","62","554d","CDI","O","C","ct_9",1194,"tr_1"
29223,"QA","59","59","344a","CDI","O","P","ct_3",2313,"tr_5"
29233,"MC","87","87","433a","CDI","O","C","ct_9",1702,"tr_1"
29244,"GZ","35","35","433d","CDI","O","C","ct_9",1517,"tr_1"
29279,"IZ","53","85","561e","TOA","O","C","ct_9",520,"tr_0"
29281,"SZ","69","69","423b","AUT","X","C","ct_8",1506,"tr_1"
29284,"GZ","12","12","487a","CDI","O","P","ct_9",947,"tr_3"
29288,"QB","33","33","525d","CDI","O","C","ct_9",1857,"tr_4"
29294,"NZ","77","77","676c","AUT","O","C",NA,275,"tr_3"
29297,"SZ","33","33","525b","CDI","O","P","ct_8",155,"tr_1"
29305,"MA","13","13","382a","CDI","O","C","ct_6",1498,"tr_1"
29313,"GZ","13","13","462e","CDI","O","P","ct_9",316,"tr_2"
29326,"QA","93","93","433a","CDI","O","C","ct_9",2003,"tr_3"
29340,"OZ","93","93","451g","CDI","O","C","ct_2",1820,"tr_6"
29346,"NZ","37","45","534a","CDI","O","C","ct_9",1552,"tr_5"
29354,"CL","67","67","474c","CDI","O","C","ct_9",455,"tr_6"
29368,"NZ","88","93","534a","CDI","O","C","ct_9",1899,"tr_6"
29375,"FZ","57","57","621e","CDI","O","C","ct_9",1546,"tr_5"
29380,"SZ","84","84","563b","CDI","O","P","ct_9",1414,"tr_5"
29386,"CI","38","38","653a","CDI","O","C","ct_9",1278,"tr_5"
29389,"OZ","17","17","434d","CDI","O","C","ct_8",1733,"tr_3"
29391,"QA","36","36","526e","CDI","O","C","ct_9",2004,"tr_1"
29393,"HZ","18","36","641a","CDI","O","C","ct_9",2191,"tr_4"
29397,"HZ","12","31","477b","CDI","O","C","ct_9",1517,"tr_6"
29401,"QA","82","82","525d","CDI","O","C","ct_9",1820,"tr_6"
29403,"QA","95","93","526a","CDI","O","C","ct_9",1098,"tr_6"
29405,"GZ","06","06","461b","AUT","O","P","ct_9",525,"tr_1"
29416,"MA","76","27","475a","CDI","O","C","ct_9",1524,"tr_4"
29417,"LZ","75","75","463d","CDI","O","C","ct_9",1842,"tr_3"
29424,"GZ","59","59","551a","CDI","O","P","ct_9",638,"tr_6"
29425,"IZ","06","06","561c","CDI","O","C","ct_9",950,"tr_1"
29434,"QB","01","01","526a","CDI","O","C","ct_8",1820,"tr_4"
29435,"QB","51","51","525d","CDI","O","C","ct_8",1753,"tr_1"
29442,"QB","16","16","563a","CDI","O","N","ct_7",3000,"tr_0"
29444,"PZ","29","29","422e","CDI","O","C","ct_8",1451,"tr_3"
29460,"SZ","45","45","435a","CDI","O","C","ct_8",1820,"tr_1"
29462,"GZ","13","13","554a","CDI","O","C","ct_9",918,"tr_6"
29467,"QB","68","68","526a","CDI","O","P","ct_9",588,"tr_4"
29476,"OZ","23","23","525b","CDI","O","C",NA,151,NA
29486,"QA","59","59","526e","CDI","O","C","ct_9",2042,"tr_3"
29491,"PZ","74","74","525a","CDI","O","P","ct_8",1633,"tr_2"
29500,"PZ","94","75","423a","CDI","O","C","ct_9",1314,"tr_0"
29520,"QB","76","76","432d","CDI","O","P","ct_8",198,"tr_2"
29523,"QB","90","90","526a","CDI","O","P","ct_8",1556,"tr_0"
29524,"GZ","33","33","385c","CDI","O","C","ct_9",2200,"tr_2"
29527,"QB","45","45","434a","CDI","O","C","ct_9",1820,"tr_4"
29537,"QB","01","01","434d","CDI","O","P","ct_8",576,"tr_2"
29543,"SZ","67","67","344b","CDI","O","N","ct_8",910,"tr_3"
29566,"FZ","31","31","621c","CDI","O","P",NA,475,NA
29570,"SZ","73","73","641a","AUT","X","P","ct_8",737,"tr_4"
29587,"KZ","94","92","544a","CDI","O","C","ct_9",1820,"tr_6"
29592,"JC","78","92","477a","CDI","O","C","ct_9",1517,"tr_5"
29601,"OZ","21","21","545d","CDI","O","C","ct_8",1849,"tr_6"
29609,"HZ","49","49","655a","CDI","O","P","ct_9",626,"tr_3"
29620,"JA","12","34","352a","AUT","O","N","ct_9",508,"tr_5"
29625,"CK","25","25","624c","CDI","O","C","ct_9",1307,"tr_4"
29664,"HZ","30","30","641b","CDI","O","P","ct_9",757,"tr_4"
29672,"NZ","69","69","555a","CDI","O","C","ct_9",1673,"tr_3"
29673,"QA","75","78","526b","CDI","O","P","ct_9",517,"tr_1"
29686,"HZ","93","77","641a","CDI","O","C","ct_9",1750,"tr_1"
29688,"FZ","69","69","632j","CDI","O","C","ct_9",958,"tr_1"
29696,"OZ","79","79","371a","CDI","O","C","ct_9",1820,"tr_4"
29700,"SZ","38","38","524c","CDI","O","C","ct_4",1784,"tr_4"
29702,"OZ","63","63","333e","CDI","O","C","ct_1",1820,"tr_6"
29713,"QA","88","88","525d","CDI","O","C","ct_9",1585,"tr_6"
29742,"CL","35","35","676c","CDI","O","C","ct_9",1029,"tr_6"
29744,"GZ","85","49","653a","CDI","O","C","ct_9",1383,"tr_3"
29749,"QA","19","19","525d","CDI","O","C","ct_8",1517,"tr_6"
29762,"CI","33","33","387c","CDI","O","P","ct_9",959,"tr_6"
29763,"IZ","94","75","462b","CDI","O","C","ct_9",618,"tr_3"
29773,"AZ",NA,"84","691d","CDI","O","C",NA,182,NA
29795,"QB","11","11","563b","CDI","O","N","ct_7",874,"tr_0"
29797,"OZ","62","62","467d","CDI","O","C","ct_8",2044,"tr_6"
29799,"SZ","28","75","684a","CDI","O","C","ct_8",1460,"tr_2"
29800,"QA","63","63","632k","AUT","O","C","ct_3",1820,"tr_6"
29801,"GZ","93","93","676a","CDI","O","C","ct_9",1983,"tr_1"
29813,"JC","10","95","478c","CDI","O","C","ct_9",1820,"tr_6"
29856,"TZ","13","13","563c","AUT","O","C",NA,1097,NA
29863,"HZ","09","31","641b","CDI","O","P","ct_9",516,"tr_6"
29866,"CK","38","38","474c","CDI","O","C","ct_9",1509,"tr_5"
29878,"CM","77","91","628a","CDI","O","C","ct_9",1445,"tr_4"
29890,"QA","21","21","433a","CDI","O","C","ct_9",1472,"tr_2"
29902,"GZ","95","77","676c","CDI","O","C","ct_9",1694,"tr_6"
29915,"QB","71","71","479b","CDI","O","C","ct_8",1832,"tr_5"
29917,"NZ","57","57","684a","CDI","O","P","ct_9",1749,"tr_6"
29941,"IZ","45","75","636d","CDI","O","C","ct_9",1408,"tr_1"
29946,"QB","83","83","526a","CDI","O","C","ct_8",1820,"tr_5"
29953,"CE","76","76","676c","CDI","O","C","ct_9",339,"tr_4"
29956,"HZ","58","58","641a","CDI","O","C","ct_9",837,"tr_3"
29991,"MA","64","64","472a","CDI","O","P","ct_6",1304,"tr_1"
30026,"LZ","57","57","543h","CDI","O","C","ct_9",1892,"tr_1"
30049,"QA","50","50","525d","CDI","O","C","ct_8",1820,"tr_6"
30058,"GZ","77","77","462b","CDI","O","C","ct_9",2184,"tr_4"
30060,"NZ","07","07","685a","AUT","X","P","ct_8",676,"tr_3"
30070,"KZ","59","59","467c","CDI","O","C","ct_9",879,"tr_0"
30103,"QA","16","16","525d","CDI","O","P","ct_9",995,"tr_3"
30109,"CH","94","77","623a","CDI","O","P","ct_9",811,"tr_0"
